166;Generalitat de Catalunya. Arxiu Nacional de Catalunya
167;Oslo Museum
168;RCE Rijksmonumentenkaartlaag
169;Narodna in univerzitetna knjižnica
170;University of Vienna
171;Kirklees Image Archive OAI Feed
172;Landesarchiv Baden-Württemberg
173;EuroPhoto ANSA
174;Generalitat de Catalunya. Departament de Cultura
175;TopFoto.co.uk
176;Biblioteca Digital de Madrid
177;Sverresborg Trøndelag Folkemuseum
178;Östasiatiska museet
179;Finnish Museum of Natural History
180;Leodis - A photographic archive of Leeds
181;dlib.si - Digital Library of Slovenia
182;Fundação Mário Soares
183;Muzej za umjetnost i obrt, Zagreb
184;Stadsarchief 's-Hertogenbosch
185;Gooi en Vecht Historisch
186;Deutsche Welle
187;Audiovisual Library of the European Commission
188;Akershusbasen
189;Biblioteka Cyfrowa - Regionalia Ziemi Łódzkiej
190;Nationaal Archief, Den Haag
191;Euregionaal Historisch Centrum Sittard-Geleen (ehc.sittard-geleen.eu)
192;"Lucian Blaga" Central University Library of Cluj-Napoca
193;Fondazione Luigi Micheletti
194;Archaeology Data Service
195;Spielzeugmuseum Nürnberg / \t http://www.museen.nuernberg.de/spielzeugmuseum/index.html
196;Sjöhistoriska museet
197;Joseph Zammit
198;English Heritage - Viewfinder
199;Regione Piemonte
200;Archives départementales de la Gironde
201;Biblioteca Digital de Castilla y León
202;Museu Gabinet Postal de Barcelona (Col·leció Marull)
203;Biblioteka Cyfrowa Uniwersytetu Wrocławskiego
204;Medelhavsmuseet
205;Országos Színháztörténeti Múzeum és Intézet (Hungarian Theatre Museum and Institute), OSZMI
206;eSbírky
207;Biblioteca Digital Memoriademadrid
208;Manchester Museum
209;Norsk Teknisk Museum
210;Dario Fo & Franca Rame Archive, CTFR, Milano, Italia
211;Regionaal Archief Tilburg
212;NTNU Vitenskapsmuseet
213;Biblioteca Virtual del Ministerio de Defensa
214;National Library of Turkey
215;Historisch Centrum Leeuwarden
216;Sheffield Images
217;Catalogue en ligne Carmentis
218;Institutul Național al Patrimoniului
219;Humboldt-Universität zu Berlin
220;Elbląska Biblioteka Cyfrowa
221;United Archives
222;Gemeentearchief Ede-Barneveld
223;Dr. Kovács Pál County Library
224;Universitäts- und Landesbibliothek Sachsen-Anhalt, Halle (Saale)
225;Bałtycka Biblioteka Cyfrowa
226;Nordlandsmuseet
227;National Inventory of Architectural Heritage
228;National Széchényi Library - Digital Archive of Pictures
229;Pomorska Biblioteka Cyfrowa
230;Albertina
231;The Regional Archives in Härnösand 
232;Gemeentearchief Schiedam
233;Archivio Franca Rame - Dario Fo
234;Archivio di Stato di Venezia - Judaica-europeana
235;Natural History Museum, Vienna - Herbarium W
236;Gemeente Schouwen-Duiveland
237;EuroPhoto BELGA provider
238;Deventer Musea
239;Teylers Museum
240;Horniman Museum and Gardens
241;Hunterian Museum
242;National Library of Serbia
243;Imperial War Museums
244;ModeMuseum Provincie Antwerpen
245;Kunsthistorisches Institut in Florenz
246;Uppsala Universitet
247;Filmoteka Narodowa
248;Lincolnshire County Council
249;Parisienne de Photographie
250;Generalitat de Catalunya Departament de Cultura
251;Norsk Jernbanemuseum, Jernbaneverket
252;Regione Emilia Romagna
253;Riksarkivet Landsarkivet i Härnösand
254;Rijckheyt, centrum voor regionale geschiedenis
255;GESIS - Leibniz-Institut für Sozialwissenschaften. Bibliothek Köln
256;National Library of Ireland
257;Telemark Museum
258;Centre de la Culture Judéo-Marocaine
259;Regione Lombardia
260;Cumbria Archives and Local Studies Department
261;Research Libraries UK
262;EuroPhoto LUSA provider
263;Podlaska Biblioteka Cyfrowa
264;Preiser Records; Austria
265;CODA Apeldoorn
266;Hispania Epigraphica Online - HEpOl
267;The Military Archives of Sweden
268;Zachodniopomorska Biblioteka Cyfrowa "Pomerania"
269;Radomska Biblioteka Cyfrowa
270;EDR - Epigraphic Database Romae
271;Den Gamle By
272;The University and National Library of Debrecen
273;The Regional Archives in Uppsala
274;Repozytorium Cyfrowe Instytutów Naukowych
275;Työväen Arkisto
276;Biblioteca de Catalunya
277;Streekarchief Langstraat Heusden Altena
278;Vänermuseet
279;Gemeentearchief Tholen
280;Biblioteka Cyfrowa Ośrodka KARTA
281;Biblioteca Digital de Castilla-La Mancha
282;Stichting Academisch Erfgoed
283;Schweizerisches Sozialarchiv
284;University of Vienna, Institute for Botany - Herbarium WU
285;Nord-Troms Museum
286;Herzog August Bibliothek Wolfenbüttel / Digitaler Portraitindex
287;Fondazione BEIC
288;Museum Rotterdam
289;The Jewish Museum of Greece
290;Athos Memory -Αγιορείτικη Μνήμη
291;Accademia Nazionale di Santa Cecilia
292;Slovenski etnografski muzej
293;Statens Museum for Kunst
294;Confederazione Generale Italiana del Lavoro
295;University of Tartu, Natural History Museum
296;Glomdalsmuseet
297;Mazowiecka Biblioteka Cyfrowa
298;Archivo de la Imagen de Castilla La Mancha
299;Tobar an Dualchais/Kist o Riches
300;Arkitektur- och designcentrum
301;Norsk Luftfartsmuseum
302;Arbejdermuseet & ABA
303;The Regional Archives in Vadstena
304;Oslo byarkiv
305;POLFOTO
306;Kulturpool
307;Germanisches Nationalmuseum Nürnberg / Digitaler Portraitindex
308;Rybinsk State Architectural, Historical and Art Museum Preserve  Рыбинский государственный историко-архитектурный и художественный музей-заповедник
309;University of Athens
310;Vereniging De Hollandsche Molen
311;Wakefield Council
312;Telemuseet
313;Internet Culturale / Istituzione Casa della Musica CIRPeM - Parma
314;Netherlands Institute for Sound and Vision
315;Dolnośląska Biblioteka Cyfrowa
316;Norsk Skogmuseum
317;The Regional Archives in Göteborg
318;Cité de la musique
319;Croatian Academy of Sciences and Arts
320;Rijksmuseum van Oudheden
321;DR
322;Les Arts Décoratifs, Paris, France
323;http://sapienzadigitallibrary.uniroma1.it/identifier/RMSSA
324;Istituto Nazionale per la Grafica
325;National and University Library in Zagreb
326;Universitätsbibliothek Heidelberg
327;Bibliothèque de l'Alliance israélite universelle
328;Stockholms läns museum
329;Centre de Documentació Museu de les Arts Escèniques Institut del Teatre de Barcelona, ITB, Barelona, Spain
330;Staatsbibliothek zu Berlin - Preußischer Kulturbesitz / Digitaler Portraitindex
331;Archivio fotografico Società Geografica Italia
332;Biblioteca Digital Real Academia de la Historia
333;Österreichisches Staatsarchiv
334;Natural History Museum of Denmark
335;National Documentation Centre (EKT)
336;Alinari Archives
337;Muis -Museums Public Portal
